Entity,Code,Day,New cases (per 1M)
Canada,CAN,2020-12-14,169.20773
Canada,CAN,2020-12-15,167.71002
Canada,CAN,2020-12-16,168.56375
Canada,CAN,2020-12-17,169.92899
Canada,CAN,2020-12-18,170.37425
Canada,CAN,2020-12-19,171.36414
Canada,CAN,2020-12-20,171.12862
Canada,CAN,2020-12-21,171.8094
Canada,CAN,2020-12-22,172.22522
Canada,CAN,2020-12-23,170.93727
Canada,CAN,2020-12-24,170.3632
Canada,CAN,2020-12-25,171.94188
Canada,CAN,2020-12-26,171.16174
Canada,CAN,2020-12-27,161.53888
Canada,CAN,2020-12-28,166.07985
Canada,CAN,2020-12-29,163.17274
Canada,CAN,2020-12-30,160.99794
Canada,CAN,2020-12-31,161.8995
Canada,CAN,2021-01-01,164.22519
Canada,CAN,2021-01-02,170.29697
Canada,CAN,2021-01-03,182.88213
Canada,CAN,2021-01-04,180.33565
Canada,CAN,2021-01-05,184.87662
Canada,CAN,2021-01-06,192.68161
Canada,CAN,2021-01-07,196.38356
Canada,CAN,2021-01-08,199.67705
Canada,CAN,2021-01-09,199.28697
Canada,CAN,2021-01-10,203.90154
Canada,CAN,2021-01-11,208.42041
Canada,CAN,2021-01-12,212.7737
Canada,CAN,2021-01-13,208.86568
Canada,CAN,2021-01-14,204.59703
Canada,CAN,2021-01-15,199.03307
Canada,CAN,2021-01-16,196.18117
Canada,CAN,2021-01-17,188.97966
Canada,CAN,2021-01-18,183.08452
Canada,CAN,2021-01-19,178.52148
Canada,CAN,2021-01-20,172.54536
Canada,CAN,2021-01-21,166.62814
Canada,CAN,2021-01-22,162.52141
Canada,CAN,2021-01-23,156.59682
Canada,CAN,2021-01-24,153.46158
Canada,CAN,2021-01-25,148.2656
Canada,CAN,2021-01-26,141.80006
Canada,CAN,2021-01-27,139.61055
Canada,CAN,2021-01-28,137.15239
Canada,CAN,2021-01-29,131.4854
Canada,CAN,2021-01-30,127.51849
Canada,CAN,2021-01-31,122.8561
Canada,CAN,2021-02-01,119.22039
Canada,CAN,2021-02-02,115.812836
Canada,CAN,2021-02-03,112.52303
Canada,CAN,2021-02-04,108.16975
Canada,CAN,2021-02-05,104.60027
Canada,CAN,2021-02-06,101.67846
Canada,CAN,2021-02-07,99.22031
Canada,CAN,2021-02-08,95.78331
Canada,CAN,2021-02-09,93.100685
Canada,CAN,2021-02-10,90.27087
Canada,CAN,2021-02-11,89.7152
Canada,CAN,2021-02-12,89.53489
Canada,CAN,2021-02-13,86.215645
Canada,CAN,2021-02-14,82.98104
Canada,CAN,2021-02-15,82.134674
Canada,CAN,2021-02-16,79.1687
Canada,CAN,2021-02-17,77.53116
Canada,CAN,2021-02-18,76.464
Canada,CAN,2021-02-19,74.32967
Canada,CAN,2021-02-20,74.81909
Canada,CAN,2021-02-21,74.62774
Canada,CAN,2021-02-22,73.597374
Canada,CAN,2021-02-23,73.46122
Canada,CAN,2021-02-24,74.771255
Canada,CAN,2021-02-25,76.25424
Canada,CAN,2021-02-26,77.32509
Canada,CAN,2021-02-27,76.66271
Canada,CAN,2021-02-28,77.13373
Canada,CAN,2021-03-01,77.4134
Canada,CAN,2021-03-02,77.51276
Canada,CAN,2021-03-03,76.47504
Canada,CAN,2021-03-04,75.24964
Canada,CAN,2021-03-05,74.94053
Canada,CAN,2021-03-06,73.82921
Canada,CAN,2021-03-07,74.35911
Canada,CAN,2021-03-08,72.817245
Canada,CAN,2021-03-09,73.453865
Canada,CAN,2021-03-10,75.07668
Canada,CAN,2021-03-11,76.412476
Canada,CAN,2021-03-12,77.924904
Canada,CAN,2021-03-13,78.62408
Canada,CAN,2021-03-14,78.97735
Canada,CAN,2021-03-15,81.4171
Canada,CAN,2021-03-16,82.96265
Canada,CAN,2021-03-17,82.25979
Canada,CAN,2021-03-18,82.25611
Canada,CAN,2021-03-19,82.848564
Canada,CAN,2021-03-20,84.971855
Canada,CAN,2021-03-21,87.75015
Canada,CAN,2021-03-22,89.48337
Canada,CAN,2021-03-23,91.03259
Canada,CAN,2021-03-24,94.451195
Canada,CAN,2021-03-25,97.34725
Canada,CAN,2021-03-26,99.76492
Canada,CAN,2021-03-27,105.656395
Canada,CAN,2021-03-28,108.89836
Canada,CAN,2021-03-29,113.880905
Canada,CAN,2021-03-30,118.51754
Canada,CAN,2021-03-31,121.457756
Canada,CAN,2021-04-01,126.13854
Canada,CAN,2021-04-02,131.55531
Canada,CAN,2021-04-03,133.78163
Canada,CAN,2021-04-04,140.50107
Canada,CAN,2021-04-05,145.86632
Canada,CAN,2021-04-06,150.73111
Canada,CAN,2021-04-07,156.96112
Canada,CAN,2021-04-08,163.00348
Canada,CAN,2021-04-09,169.0127
Canada,CAN,2021-04-10,177.07161
Canada,CAN,2021-04-11,185.61627
Canada,CAN,2021-04-12,191.94565
Canada,CAN,2021-04-13,200.07079
Canada,CAN,2021-04-14,208.43146
Canada,CAN,2021-04-15,212.19228
Canada,CAN,2021-04-16,217.53545
Canada,CAN,2021-04-17,223.33124
Canada,CAN,2021-04-18,223.69186
Canada,CAN,2021-04-19,224.88783
Canada,CAN,2021-04-20,224.40208
Canada,CAN,2021-04-21,223.56308
Canada,CAN,2021-04-22,222.58055
Canada,CAN,2021-04-23,221.92186
Canada,CAN,2021-04-24,217.5465
Canada,CAN,2021-04-25,215.32753
Canada,CAN,2021-04-26,213.25945
Canada,CAN,2021-04-27,210.70193
Canada,CAN,2021-04-28,206.62463
Canada,CAN,2021-04-29,205.86658
Canada,CAN,2021-04-30,203.40108
Canada,CAN,2021-05-01,203.26123
Canada,CAN,2021-05-02,201.79665
Canada,CAN,2021-05-03,202.33023
Canada,CAN,2021-05-04,202.32655
Canada,CAN,2021-05-05,203.65866
Canada,CAN,2021-05-06,202.25664
Canada,CAN,2021-05-07,200.93556
Canada,CAN,2021-05-08,199.67705
Canada,CAN,2021-05-09,197.7856
Canada,CAN,2021-05-10,193.91437
Canada,CAN,2021-05-11,191.96036
Canada,CAN,2021-05-12,187.44516
Canada,CAN,2021-05-13,182.63925
Canada,CAN,2021-05-14,178.30437
Canada,CAN,2021-05-15,173.21878
Canada,CAN,2021-05-16,166.49934
Canada,CAN,2021-05-17,160.28773
Canada,CAN,2021-05-18,153.2923
Canada,CAN,2021-05-19,146.85252
Canada,CAN,2021-05-20,141.89206
Canada,CAN,2021-05-21,134.66112
Canada,CAN,2021-05-22,128.89476
Canada,CAN,2021-05-23,124.0447
Canada,CAN,2021-05-24,117.75212
Canada,CAN,2021-05-25,111.6509
Canada,CAN,2021-05-26,106.36293
Canada,CAN,2021-05-27,100.72537
Canada,CAN,2021-05-28,94.635185
Canada,CAN,2021-05-29,86.9553
Canada,CAN,2021-05-30,81.51646
Canada,CAN,2021-05-31,76.79887
Canada,CAN,2021-06-01,72.14383
Canada,CAN,2021-06-02,68.3094
Canada,CAN,2021-06-03,65.13
Canada,CAN,2021-06-04,63.17967
Canada,CAN,2021-06-05,60.250492
Canada,CAN,2021-06-06,56.04072
Canada,CAN,2021-06-07,52.982754
Canada,CAN,2021-06-08,49.479515
Canada,CAN,2021-06-09,46.252274
Canada,CAN,2021-06-10,44.89072
Canada,CAN,2021-06-11,42.465687
Canada,CAN,2021-06-12,39.92658
Canada,CAN,2021-06-13,37.58986
Canada,CAN,2021-06-14,35.742565
Canada,CAN,2021-06-15,34.682766
Canada,CAN,2021-06-16,33.64136
Canada,CAN,2021-06-17,31.944942
Canada,CAN,2021-06-18,30.638588
Canada,CAN,2021-06-19,29.269676
Canada,CAN,2021-06-20,27.749891
Canada,CAN,2021-06-21,26.182266
Canada,CAN,2021-06-22,24.596243
Canada,CAN,2021-06-23,23.164774
Canada,CAN,2021-06-24,22.480318
Canada,CAN,2021-06-25,21.291721
Canada,CAN,2021-06-26,19.823454
Canada,CAN,2021-06-27,18.557579
Canada,CAN,2021-06-28,17.486736
Canada,CAN,2021-06-29,16.393816
Canada,CAN,2021-06-30,16.761803
Canada,CAN,2021-07-01,16.691885
Canada,CAN,2021-07-02,16.040548
Canada,CAN,2021-07-03,15.657842
Canada,CAN,2021-07-04,14.774673
Canada,CAN,2021-07-05,13.847346
Canada,CAN,2021-07-06,13.917264
Canada,CAN,2021-07-07,12.883221
Canada,CAN,2021-07-08,12.279722
Canada,CAN,2021-07-09,12.301802
Canada,CAN,2021-07-10,12.165647
Canada,CAN,2021-07-11,13.424162
Canada,CAN,2021-07-12,13.332165
Canada,CAN,2021-07-13,13.151852
Canada,CAN,2021-07-14,12.758105
Canada,CAN,2021-07-15,12.382759
Canada,CAN,2021-07-16,11.746141
Canada,CAN,2021-07-17,11.2236
Canada,CAN,2021-07-18,9.851009
Canada,CAN,2021-07-19,9.810531
Canada,CAN,2021-07-20,9.895167
Canada,CAN,2021-07-21,9.869409
Canada,CAN,2021-07-22,9.880448
Canada,CAN,2021-07-23,9.950365
Canada,CAN,2021-07-24,10.483947
Canada,CAN,2021-07-25,11.297197
Canada,CAN,2021-07-26,11.801339
Canada,CAN,2021-07-27,12.452676
Canada,CAN,2021-07-28,13.081934
Canada,CAN,2021-07-29,13.961423
Canada,CAN,2021-07-30,15.304575
Canada,CAN,2021-07-31,16.496853
Canada,CAN,2021-08-01,17.560335
Canada,CAN,2021-08-02,18.487661
Canada,CAN,2021-08-03,20.000088
Canada,CAN,2021-08-04,20.975252
Canada,CAN,2021-08-05,21.560352
Canada,CAN,2021-08-06,22.270567
Canada,CAN,2021-08-07,24.305534
Canada,CAN,2021-08-08,26.561293
Canada,CAN,2021-08-09,28.761856
Canada,CAN,2021-08-10,31.42608
Canada,CAN,2021-08-11,33.295452
Canada,CAN,2021-08-12,35.536495
Canada,CAN,2021-08-13,38.859417
Canada,CAN,2021-08-14,41.413246
Canada,CAN,2021-08-15,44.710407
Canada,CAN,2021-08-16,47.99285
Canada,CAN,2021-08-17,48.26884
Canada,CAN,2021-08-18,51.10234
Canada,CAN,2021-08-19,52.6994
