Entity,Code,Day,"People vaccinated (daily, 7-day average, per million people)"
Canada,CAN,2020-12-15,0.0018572299
Canada,CAN,2020-12-16,0.0038921973
Canada,CAN,2020-12-17,0.006248295
Canada,CAN,2020-12-18,0.007271789
Canada,CAN,2020-12-19,0.006372282
Canada,CAN,2020-12-20,0.005680307
Canada,CAN,2020-12-21,0.0077571636
Canada,CAN,2020-12-22,0.009622857
Canada,CAN,2020-12-23,0.0119750295
Canada,CAN,2020-12-24,0.014163815
Canada,CAN,2020-12-25,0.013809812
Canada,CAN,2020-12-26,0.01341901
Canada,CAN,2020-12-27,0.014430974
Canada,CAN,2020-12-28,0.013980926
Canada,CAN,2020-12-29,0.01663816
Canada,CAN,2020-12-30,0.01658517
Canada,CAN,2020-12-31,0.018545067
Canada,CAN,2021-01-01,0.020840202
Canada,CAN,2021-01-02,0.022548396
Canada,CAN,2021-01-03,0.023140488
Canada,CAN,2021-01-04,0.029396633
Canada,CAN,2021-01-05,0.031186521
Canada,CAN,2021-01-06,0.038222797
Canada,CAN,2021-01-07,0.045826145
Canada,CAN,2021-01-08,0.057354804
Canada,CAN,2021-01-09,0.06851658
Canada,CAN,2021-01-10,0.075247064
Canada,CAN,2021-01-11,0.08067377
Canada,CAN,2021-01-12,0.08501638
Canada,CAN,2021-01-13,0.083128236
Canada,CAN,2021-01-14,0.08438565
Canada,CAN,2021-01-15,0.0865277
Canada,CAN,2021-01-16,0.087172784
Canada,CAN,2021-01-17,0.08857813
Canada,CAN,2021-01-18,0.08938365
Canada,CAN,2021-01-19,0.092135824
Canada,CAN,2021-01-20,0.09495865
Canada,CAN,2021-01-21,0.094107494
Canada,CAN,2021-01-22,0.08869883
Canada,CAN,2021-01-23,0.08368132
Canada,CAN,2021-01-24,0.07804634
Canada,CAN,2021-01-25,0.0687245
Canada,CAN,2021-01-26,0.062946
Canada,CAN,2021-01-27,0.056827478
Canada,CAN,2021-01-28,0.04866001
Canada,CAN,2021-01-29,0.041526586
Canada,CAN,2021-01-30,0.0354732
Canada,CAN,2021-01-31,0.032017067
Canada,CAN,2021-02-01,0.03146656
Canada,CAN,2021-02-02,0.026040224
Canada,CAN,2021-02-03,0.022634137
